Shipment_Date,Serial_Number,Weight_KG,Destination
2024-05-20,SN1001,120.5,Mumbai
2024-05-21,SN1002,85.0,Pune
2024-05-22,SN1003,60.2,Delhi
2024-05-23,SN1004,150.0,Bangalore
2024-05-24,SN1005,95.6,Chennai
2024-05-25,SN1006,40.0,Hyderabad
2024-05-26,SN1007,72.8,Ahmedabad
2024-05-27,SN1008,110.3,Kolkata
2024-05-28,SN1009,55.0,Jaipur
2024-05-29,SN1010,200.0,Surat
2024-05-30,SN1011,130.7,Indore
2024-05-31,SN1012,90.4,Bhopal
2024-06-01,SN1013,45.9,Udaipur
2024-06-02,SN1014,160.0,Nagpur
2024-06-03,SN1015,70.5,Amritsar
2024-06-04,SN1016,180.2,Lucknow
2024-06-05,SN1017,66.6,Kanpur
2024-06-06,SN1018,140.0,Patna
2024-06-07,SN1019,88.8,Ranchi
2024-06-08,SN1020,155.5,Guwahati
