Age,Salary
47,86091
42,54910
51,85082
37,62039
34,59837
37,54184
29,35805
42,81949
23,27612
26,28890
25,28943
28,29297
50,82555
37,54736
54,79447
26,33792
40,92548
59,73855
27,42159
22,25995
42,48206
49,87894
29,37990
31,63265
45,88080
24,39541
34,56392
51,76004
24,36016
59,72737
27,40787
38,57762
44,94309
26,30675
56,93342
29,35555
40,58817
44,57914
36,61986
21,28152
41,62948
43,48391
26,33433
59,70327
22,31873
21,44457
46,89633
20,34692
41,49678
22,37206
28,32989
24,35627
27,26585
43,51561
27,35233
52,75392
22,35253
37,64198
41,60666
51,68202
30,63934
42,68197
44,60685
44,50454
41,56110
49,91664
39,58965
52,69636
30,54374
46,87315
48,90912
42,61067
36,60383
41,53056
41,75777
38,56755
40,68854
24,36534
56,72389
38,62820
37,49059
48,73791
38,53892
23,25161
23,33838
38,48502
20,36653
27,39502
25,38417
58,72931
48,88602
46,81877
40,89919
45,89556
24,26021
37,55574
51,94736
25,33226
59,80688
42,61773
