Transaction_ID,Date,Region,Product,Revenue
TXN000001,2026-01-01,Asia,Product_A,1250.50
TXN000002,2026-01-01,Europe,Product_B,980.00
TXN000003,2026-01-01,North America,Product_C,1575.75
TXN000004,2026-01-02,Asia,Product_A,2100.00
TXN000005,2026-01-02,Europe,Product_D,450.25
TXN000006,2026-01-02,North America,Product_B,1320.40
TXN000007,2026-01-03,Asia,Product_C,1750.00
TXN000008,2026-01-03,Europe,Product_A,890.90
TXN000009,2026-01-03,North America,Product_D,640.60
TXN000010,2026-01-04,Asia,Product_B,1999.99
TXN000011,2026-01-04,Europe,Product_C,1100.00
TXN000012,2026-01-04,North America,Product_A,3050.75
TXN000013,2026-01-05,Asia,Product_D,720.30
TXN000014,2026-01-05,Europe,Product_B,1450.00
TXN000015,2026-01-05,North America,Product_C,1680.20
TXN000001,2026-01-01,Asia,Product_A,1250.50
TXN000002,2026-01-01,Europe,Product_B,980.00
TXN000003,2026-01-01,North America,Product_C,1575.75
TXN000004,2026-01-02,Asia,Product_A,2100.00
TXN000005,2026-01-02,Europe,Product_D,450.25
TXN000006,2026-01-02,North America,Product_B,1320.40
TXN000007,2026-01-03,Asia,Product_C,1750.00
TXN000008,2026-01-03,Europe,Product_A,890.90
TXN000009,2026-01-03,North America,Product_D,640.60
TXN000010,2026-01-04,Asia,Product_B,1999.99
TXN000011,2026-01-04,Europe,Product_C,1100.00
TXN000012,2026-01-04,North America,Product_A,3050.75
TXN000013,2026-01-05,Asia,Product_D,720.30
TXN000014,2026-01-05,Europe,Product_B,1450.00
TXN000015,2026-01-05,North America,Product_C,1680.20
TXN000001,2026-01-01,Asia,Product_A,1250.50
TXN000002,2026-01-01,Europe,Product_B,980.00
TXN000003,2026-01-01,North America,Product_C,1575.75
TXN000004,2026-01-02,Asia,Product_A,2100.00
TXN000005,2026-01-02,Europe,Product_D,450.25
TXN000006,2026-01-02,North America,Product_B,1320.40
TXN000007,2026-01-03,Asia,Product_C,1750.00
TXN000008,2026-01-03,Europe,Product_A,890.90
TXN000009,2026-01-03,North America,Product_D,640.60
TXN000010,2026-01-04,Asia,Product_B,1999.99
TXN000011,2026-01-04,Europe,Product_C,1100.00
TXN000012,2026-01-04,North America,Product_A,3050.75
TXN000013,2026-01-05,Asia,Product_D,720.30
TXN000014,2026-01-05,Europe,Product_B,1450.00
TXN000015,2026-01-05,North America,Product_C,1680.20
